trace,l1p,l2p,repl,inc,metric,value
dataCaching,no,bop,drrip,NON,ipc,0.412737
dataCaching,no,bop,drrip,NON,cycles,2422849979
dataCaching,no,bop,drrip,NON,l1_evict,11368381
dataCaching,no,bop,drrip,NON,l2_evict,7352548
dataCaching,no,bop,drrip,NON,l3_evict,2150312
dataCaching,no,bop,drrip,NON,llc_mpki,1.01751
dataCaching,no,bop,drrip,NON,l1_evict_inc,0
dataCaching,no,bop,drrip,NON,l2_evict_inc,0
dataCaching,no,bop,drrip,EXC,ipc,0.39888
dataCaching,no,bop,drrip,EXC,cycles,2507022153
dataCaching,no,bop,drrip,EXC,l1_evict,11368245
dataCaching,no,bop,drrip,EXC,l2_evict,7360888
dataCaching,no,bop,drrip,EXC,l3_evict,7865771
dataCaching,no,bop,drrip,EXC,llc_mpki,7.79188
dataCaching,no,bop,drrip,EXC,l1_evict_inc,0
dataCaching,no,bop,drrip,EXC,l2_evict_inc,0
dataCaching,no,bop,kpcr,NON,ipc,0.409636
dataCaching,no,bop,kpcr,NON,cycles,2441189054
dataCaching,no,bop,kpcr,NON,l1_evict,11368305
dataCaching,no,bop,kpcr,NON,l2_evict,7357787
dataCaching,no,bop,kpcr,NON,l3_evict,2494448
dataCaching,no,bop,kpcr,NON,llc_mpki,1.41517
dataCaching,no,bop,kpcr,NON,l1_evict_inc,0
dataCaching,no,bop,kpcr,NON,l2_evict_inc,0
dataCaching,no,bop,kpcr,EXC,ipc,0.399774
dataCaching,no,bop,kpcr,EXC,cycles,2501415902
dataCaching,no,bop,kpcr,EXC,l1_evict,11368251
dataCaching,no,bop,kpcr,EXC,l2_evict,7367472
dataCaching,no,bop,kpcr,EXC,l3_evict,7427863
dataCaching,no,bop,kpcr,EXC,llc_mpki,7.55855
dataCaching,no,bop,kpcr,EXC,l1_evict_inc,0
dataCaching,no,bop,kpcr,EXC,l2_evict_inc,0
dataCaching,no,kpcp,lru,NON,ipc,0.407656
dataCaching,no,kpcp,lru,NON,cycles,2453046815
dataCaching,no,kpcp,lru,NON,l1_evict,11378339
dataCaching,no,kpcp,lru,NON,l2_evict,5518129
dataCaching,no,kpcp,lru,NON,l3_evict,1842400
dataCaching,no,kpcp,lru,NON,llc_mpki,1.27748
dataCaching,no,kpcp,lru,NON,l1_evict_inc,0
dataCaching,no,kpcp,lru,NON,l2_evict_inc,0
dataCaching,no,kpcp,lru,EXC,ipc,0.408014
dataCaching,no,kpcp,lru,EXC,cycles,2450897538
dataCaching,no,kpcp,lru,EXC,l1_evict,11378391
dataCaching,no,kpcp,lru,EXC,l2_evict,5524564
dataCaching,no,kpcp,lru,EXC,l3_evict,2743609
dataCaching,no,kpcp,lru,EXC,llc_mpki,5.31221
dataCaching,no,kpcp,lru,EXC,l1_evict_inc,0
dataCaching,no,kpcp,lru,EXC,l2_evict_inc,0
dataCaching,no,kpcp,eaf,NON,ipc,0.412023
dataCaching,no,kpcp,eaf,NON,cycles,2427049523
dataCaching,no,kpcp,eaf,NON,l1_evict,11363749
dataCaching,no,kpcp,eaf,NON,l2_evict,5534797
dataCaching,no,kpcp,eaf,NON,l3_evict,1378770
dataCaching,no,kpcp,eaf,NON,llc_mpki,0.927241
dataCaching,no,kpcp,eaf,NON,l1_evict_inc,0
dataCaching,no,kpcp,eaf,NON,l2_evict_inc,0
dataCaching,no,kpcp,eaf,EXC,ipc,0.39706
dataCaching,no,kpcp,eaf,EXC,cycles,2518511741
dataCaching,no,kpcp,eaf,EXC,l1_evict,11363585
dataCaching,no,kpcp,eaf,EXC,l2_evict,5540041
dataCaching,no,kpcp,eaf,EXC,l3_evict,4403457
dataCaching,no,kpcp,eaf,EXC,llc_mpki,6.25713
dataCaching,no,kpcp,eaf,EXC,l1_evict_inc,0
dataCaching,no,kpcp,eaf,EXC,l2_evict_inc,0
dataCaching,no,kpcp,ship,NON,ipc,0.410914
dataCaching,no,kpcp,ship,NON,cycles,2433598818
dataCaching,no,kpcp,ship,NON,l1_evict,11369075
dataCaching,no,kpcp,ship,NON,l2_evict,5569435
dataCaching,no,kpcp,ship,NON,l3_evict,1484208
dataCaching,no,kpcp,ship,NON,llc_mpki,1.01888
dataCaching,no,kpcp,ship,NON,l1_evict_inc,0
dataCaching,no,kpcp,ship,NON,l2_evict_inc,0
dataCaching,no,kpcp,ship,EXC,ipc,0.397303
dataCaching,no,kpcp,ship,EXC,cycles,2516967990
dataCaching,no,kpcp,ship,EXC,l1_evict,11368919
dataCaching,no,kpcp,ship,EXC,l2_evict,5573067
dataCaching,no,kpcp,ship,EXC,l3_evict,4367953
dataCaching,no,kpcp,ship,EXC,llc_mpki,6.26848
dataCaching,no,kpcp,ship,EXC,l1_evict_inc,0
dataCaching,no,kpcp,ship,EXC,l2_evict_inc,0
dataCaching,no,kpcp,drrip,NON,ipc,0.409728
dataCaching,no,kpcp,drrip,NON,cycles,2440641847
dataCaching,no,kpcp,drrip,NON,l1_evict,11369066
dataCaching,no,kpcp,drrip,NON,l2_evict,5569635
dataCaching,no,kpcp,drrip,NON,l3_evict,1649585
dataCaching,no,kpcp,drrip,NON,llc_mpki,1.17863
dataCaching,no,kpcp,drrip,NON,l1_evict_inc,0
dataCaching,no,kpcp,drrip,NON,l2_evict_inc,0
dataCaching,no,kpcp,drrip,EXC,ipc,0.396575
dataCaching,no,kpcp,drrip,EXC,cycles,2521591155
dataCaching,no,kpcp,drrip,EXC,l1_evict,11368921
dataCaching,no,kpcp,drrip,EXC,l2_evict,5572957
dataCaching,no,kpcp,drrip,EXC,l3_evict,4612808
dataCaching,no,kpcp,drrip,EXC,llc_mpki,6.39894
dataCaching,no,kpcp,drrip,EXC,l1_evict_inc,0
dataCaching,no,kpcp,drrip,EXC,l2_evict_inc,0
dataCaching,no,kpcp,kpcr,NON,ipc,0.410407
dataCaching,no,kpcp,kpcr,NON,cycles,2436604164
dataCaching,no,kpcp,kpcr,NON,l1_evict,11369049
dataCaching,no,kpcp,kpcr,NON,l2_evict,5569650
dataCaching,no,kpcp,kpcr,NON,l3_evict,1532205
dataCaching,no,kpcp,kpcr,NON,llc_mpki,1.19591
dataCaching,no,kpcp,kpcr,NON,l1_evict_inc,0
